名称,稀有度,价格,用途,介绍,获取途径,标签,食物系列,好感,好感翻倍角色,每好感花费,,
咕比奇原味薯片,蓝,360,为当前角色恢复生命值上限的24%。,咕滋咕滋，爱来自咕比奇！,"咕比奇专卖售货机
2-Four便利店(桥间地)
2-Four便利店(绘空町)
2-Four便利店(米格尔区)
2-Four便利店(新赫兰德区)","食物、礼物、可购买、可拾取、可偷取
生命、百分比、单体、一次性",咕比奇,50,娜娜莉,7.2,,
咕比奇黄瓜薯片,蓝,360,为当前角色恢复1750点生命值。,要是因为薯片的口味吵架的话，咕比奇是会伤心的。,"咕比奇专卖售货机
2-Four便利店(桥间地)
2-Four便利店(绘空町)
2-Four便利店(米格尔区)
2-Four便利店(新赫兰德区)","食物、礼物、可购买、可拾取、可偷取
生命、数值、单体、一次性",咕比奇,50,,7.2,,
咕比奇黄油薯片,蓝,360,当前角色在之后的30秒内，每5秒回复455生命值。,脆口解锁桥间地手工黄油的丝滑与奇妙，限定味觉奇遇，让味蕾跳起来~（桥间地限定）,"咕比奇专卖售货机
2-Four便利店(桥间地)
2-Four便利店(绘空町)
2-Four便利店(米格尔区)
2-Four便利店(新赫兰德区)","食物、礼物、可购买、可拾取
生命、数值、单体、持续",咕比奇,50,,7.2,,
再来一口！「牛奶味」,蓝,360,队伍中所有角色暴击率增加4.8%，持续180秒。多人游戏时，仅对自己的角色生效。,快咬一口公司的知名饼干产品，快咬一口，再来一口牛奶味的！,"咕比奇专卖售货机
2-Four便利店(桥间地)
2-Four便利店(绘空町)","食物、礼物、可购买、可拾取、可偷取
暴击、暴击率、百分比、持续、全队",咕比奇,50,早雾,7.2,,
再来一口！「巧克力味」,蓝,360,队伍中所有角色暴击伤害增加9.6%，持续180秒。多人游戏时，仅对自己的角色生效。,快咬一口公司的知名饼干产品，快咬一口，再来一口巧克力味的！,"咕比奇专卖售货机
2-Four便利店(桥间地)
2-Four便利店(绘空町)","食物、礼物、可购买、可拾取、可偷取
暴击、暴击伤害、百分比、持续、全队",咕比奇,50,,7.2,,
咕比脆,绿,300,为当前角色恢复生命值上限的20%。,咕比奇最爱的坚果脆零食，营养，美味，我全都要！ ,"咕比奇专卖售货机
2-Four便利店(米格尔区) ","食物、礼物、可购买
生命、百分比、单体、一次性",咕比奇,50,薄荷,6,,
鲍勃橙意满满,蓝,510,为当前角色恢复2500点生命值。,「鲍勃叔叔」推出的橙味果汁饮料，维C每日，橙意满满，粒粒鲜橙吃得到！,"鲍勃叔叔专卖售货机
咔叽玛快餐店(桥间地)
咔叽玛快餐店(绘空町)
咔叽玛快餐店(米格尔区)
食为天家庭餐厅(桥间地)
食为天家庭餐厅(绘空町)
食为天家庭餐厅(米格尔区)
食为天家庭餐厅(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性",鲍勃叔叔,50,,10.2,,
鲍勃莓莓相遇,蓝,510,为当前角色恢复生命值上限的34%。,草莓与蓝莓最好的相遇，就在「鲍勃叔叔」果园系列！,鲍勃叔叔专卖售货机,"食物、礼物、可购买
生命、百分比、单体、一次性",鲍勃叔叔,50,,10.2,,
鲍勃惊喜果园,蓝,510,当前角色在之后的30秒内，每5秒回复650生命值。,基于已有的果汁饮料开发出的混合果汁饮料，多种果味定能给你意外惊喜~,鲍勃叔叔专卖售货机,"食物、礼物、可购买
生命、数值、单体、持续",鲍勃叔叔,50,,10.2,,
鲍勃阳光牧场,蓝,480,为当前角色恢复生命值上限的16%，并在之后的30秒内，每5秒恢复299点生命值。,喝牛奶当然会让你长高——不过还需要足够的锻炼和充足的营养！,鲍勃叔叔专卖售货机,"食物、礼物、可购买
生命、百分比、数值、混合、单体、持续",鲍勃叔叔,50,,9.6,,
鲍勃茶园,绿,300,为当前角色恢复1450点生命值。 ,精选优质茶叶，让每一位顾客随时随地喝到最优质的绿茶。,"鲍勃叔叔专卖售货机
2-Four便利店(米格尔区) ","食物、礼物、可购买
生命、数值、单体、持续",鲍勃叔叔,50,翳（狗哥）,6,,
噗卡巧克力「绘莉巡演纪念款」,金,1050,为当前角色恢复生命值上限的56%。,为纪念绘莉在桥间地的首场演出而发售的纪念款。每一块都是独家回忆，与你共享不灭的星光。（桥间地限定）,"噗卡糖果专卖店货机
噗卡糖果店(桥间地)","食物、礼物、可购买、可拾取
生命、百分比、单体、一次性",噗卡糖果,50,"哈尼娅
真红",21,,
噗卡好梦棉花糖,紫,660,复活选中角色，并额外恢复2200生命值。,睡前一颗好梦棉花糖，蓬蓬软软，涤净一天的劳累，做个好梦！,"噗卡糖果专卖售货机
噗卡糖果店(桥间地)
噗卡糖果店(米格尔区)
噗卡糖果店(新赫兰德区)","食物、礼物、可购买
复活、生命、数值、单体、一次性",噗卡糖果,50,"小吱
达芙蒂尔
伊洛伊",13.2,,
噗卡巧克力「经典系列」,紫,600,为当前角色恢复生命上限的40%。,经典之选，回味无穷，噗卡，在你舌尖上弹跳！,"噗卡糖果专卖售货机
噗卡糖果店(桥间地)
噗卡糖果店(米格尔区)
噗卡糖果店(新赫兰德区)","食物、礼物、可购买、可拾取
生命、百分比、单体、一次性",噗卡糖果,50,,12,,
噗卡巧克力「果仁风暴」,紫,600,为当前角色恢复2950点生命值。,果仁与巧克力的完美邂逅，噗卡，每一口都是奢华盛宴。,"噗卡糖果专卖售货机
噗卡糖果店(桥间地)
噗卡糖果店(米格尔区)
噗卡糖果店(新赫兰德区)","食物、礼物、可购买、可拾取
生命、数值、单体、一次性",噗卡糖果,50,,12,,
噗卡巧克力「热辣挑战」,紫,600,当前角色在之后的30秒内，每5秒回复767生命值。,辣味与甜意的叛逆碰撞，噗卡，给乏味的生活加料！,"噗卡糖果专卖售货机
噗卡糖果店(桥间地)
噗卡糖果店(米格尔区)
噗卡糖果店(新赫兰德区)","食物、礼物、可购买、可拾取
生命、数值、单体、持续",噗卡糖果,50,白藏,12,,
噗卡幸运星,蓝,450,为当前角色恢复生命上限的30%。,感觉诸事不顺？来一颗噗卡幸运星，立刻转运！,"噗卡糖果专卖售货机
噗卡糖果店(桥间地)
噗卡糖果店(米格尔区)
噗卡糖果店(新赫兰德区)","食物、礼物、可购买
生命、百分比、单体、一次性",噗卡糖果,50,,9,,
极品豆腐排,紫,660,复活选中角色，并恢复生命值上限的30%。,散发着独特香味的豆制品料理，独家烟熏工艺赋予其浓郁醇厚的香气，入口即化的豆腐带着微焦香，此即升华！,"夏成豆腐店(米格尔区)
茂藏家豆腐店(桥间地)
茂藏家豆腐店(绘空町)
茂藏家豆腐店(新赫兰德区)","食物、礼物、可购买
复活、生命、百分比、单体、一次性",豆腐店,50,,13.2,,
炸豆腐,蓝,450,为当前角色恢复生命值上限的20%，并在之后的30秒内，每5秒恢复182点生命值。,炸到金灿灿的豆制品料理，外壳酥脆，内心柔软，啊！要小心烫口哦！,"夏成豆腐店(米格尔区)
茂藏家豆腐店(桥间地)
茂藏家豆腐店(绘空町)
茂藏家豆腐店(新赫兰德区)","食物、礼物、可购买
生命、百分比、数值、混合、单体、持续",豆腐店,50,,9,,
手磨纯豆乳,蓝,450,为当前角色恢复1450点生命值，并在之后的30秒内，每5秒恢复182点生命值。,散发着浓郁豆子香味的饮品，低热量，高蛋白，健康生活，不二选择！,"夏成豆腐店(米格尔区)
茂藏家豆腐店(桥间地)
茂藏家豆腐店(绘空町)
茂藏家豆腐店(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性、持续",豆腐店,50,,9,,
白雪豆花,蓝,450,为当前角色恢复生命值上限的10%，并在之后的30秒内，每5秒恢复377点生命值。,洁白柔软的豆制品料理，如白雪一样可爱。虽然咸派和甜派纷争不断，那为什么不试试加辣椒呢？,"夏成豆腐店(米格尔区)
茂藏家豆腐店(桥间地)
茂藏家豆腐店(绘空町)
茂藏家豆腐店(新赫兰德区)","食物、礼物、可购买
生命、百分比、数值、混合、单体、持续、一次性",豆腐店,50,埃德嘉,9,,
超级豚骨拉面,紫,600,队伍中所有角色攻击力增加100，持续180秒。多人游戏时，仅对自己的角色生效。,卜多力大厨的得意之作——精选上好鲜肉，8小时熬制大骨浓汤，卜多力大厨亲自拉面，佐以秘制酱汁，端到顾客面前时，飘出的水汽是香味的具象化，这才能称得上「超级」！,"卜多力居酒屋(桥间地)
千酿鲜吟居酒屋(米格尔区)
千酿鲜吟居酒屋(新赫兰德区)","食物、礼物、可购买
攻击力、数值、持续、全队",居酒屋,50,薄荷,12,,
时令寿司船,紫,600,队伍中所有角色暴击率增加8%，持续180秒。多人游戏时，仅对自己的角色生效。,满载各色手握的寿司船，储备着当季的新鲜食材，再带上一小碟承载理想的芥末酱油，向着诗和远方，前进！！！,"卜多力居酒屋(桥间地)
千酿鲜吟居酒屋(米格尔区)
千酿鲜吟居酒屋(新赫兰德区)","食物、礼物、可购买
暴击、暴击率、百分比、持续、全队",居酒屋,50,残虹,12,,
酥酥酥天丼,紫,600,队伍中所有角色攻击伤害增加16%，持续180秒。多人游戏时，仅对自己的角色生效。,咕滋——咕滋——咕滋——停……停不下来！麻烦，请，拜托！再来一碗吧！,"卜多力居酒屋(桥间地)
千酿鲜吟居酒屋(米格尔区)
千酿鲜吟居酒屋(新赫兰德区)","食物、礼物、可购买
攻击力、百分比、持续、全队",居酒屋,50,,12,,
蜜汁鸡肉串,蓝,450,队伍中所有角色攻击力增加75，持续180秒。多人游戏时，仅对自己的角色生效。,店长秘制的谜之蜜汁，让鸡肉串咸香甜嫩，风味十足！,"卜多力居酒屋(桥间地)
千酿鲜吟居酒屋(米格尔区)
千酿鲜吟居酒屋(新赫兰德区)","食物、礼物、可购买
攻击力、数值、持续、全队",居酒屋,50,,9,,
炭烤青花鱼,蓝,450,队伍中所有角色暴击率增加6%，持续180秒。多人游戏时，仅对自己的角色生效。,传统炭火慢烤，几十年如一日的经典味道，无论是家庭聚餐，还是好友小酌，均受到除青花鱼外的所有当事人认可。,"卜多力居酒屋(桥间地)
千酿鲜吟居酒屋(米格尔区)
千酿鲜吟居酒屋(新赫兰德区)","食物、礼物、可购买
暴击、暴击率、百分比、持续、全队",居酒屋,50,,9,,
千代家自酿生啤,绿,300,队伍中所有角色防御力增加50，持续180秒。多人游戏时，仅对自己的角色生效。,"千代婆婆自酿的植物发酵饮品。老旧的发酵桶，一道道划痕不甚清晰地映照出少女日渐佝偻的身影……
「喂喂喂！只是麦子啊，甜水都能把你放倒？」","卜多力居酒屋(桥间地)
千酿鲜吟居酒屋(米格尔区)
千酿鲜吟居酒屋(新赫兰德区)","食物、礼物、可购买
防御力、数值、持续、全队",居酒屋,50,浔,6,,
热辣烤鸡菠萝丼,紫,810,复活选中角色，并恢复生命值上限的40%。,辣味鸡肉与甜蜜菠萝的奇妙碰撞，为你带走疲惫，加满状态！,"2-Four便利店(绘空町)
2-Four便利店(米格尔区)","食物、礼物、可购买
复活、生命、百分比、单体、一次性",2-Four便利店,50,,16.2,,
咔咔蔬菜三明治,蓝,450,复活选中角色，并额外恢复1150生命值。 ,鲜美蟹柳，爽脆蔬菜！一口咔嚓，超满足！,"2-Four便利店(绘空町)
2-Four便利店(米格尔区)","食物、礼物、可购买
复活、生命、数值、单体、一次性",2-Four便利店,50,,9,,
咔叽玛熔岩瀑布堡,蓝,450,队伍中所有角色防御力增加75，持续180秒。多人游戏时，仅对自己的角色生效。,浓郁切达芝士，香滑车打芝士，层层熔融在鲜嫩牛肉饼上——一场芝士的角逐即将爆发！,"咔叽玛快餐店(桥间地)
咔叽玛快餐店(绘空町)
咔叽玛快餐店(米格尔区)","食物、礼物、可购买
防御力、数值、持续、全队",咔叽玛快餐店,50,翳（狗哥）,9,,
咔叽玛火山哞哞堡,蓝,450,队伍中所有角色攻击力增加75，持续180秒。多人游戏时，仅对自己的角色生效。,勇敢的斗牛士啊，眼前的斗牛已被注入火山般的热辣能量，正等待迎接你的挑战！快来挥舞你的旗帜，争夺你的辣味勋章吧！,"咔叽玛快餐店(桥间地)
咔叽玛快餐店(绘空町)
咔叽玛快餐店(米格尔区)","食物、礼物、可购买
攻击力、数值、持续、全队",咔叽玛快餐店,50,,9,,
咔叽玛浓情蜜翼,蓝,450,队伍中所有角色暴击伤害增加12%，持续180秒。多人游戏时，仅对自己的角色生效。,想要和天空来一次甜蜜接触？用咔叽玛给你的翅膀飞，多远都不累！,"咔叽玛快餐店(桥间地)
咔叽玛快餐店(绘空町)
咔叽玛快餐店(米格尔区)","食物、礼物、可购买
暴击、暴击伤害、百分比、持续、全队",咔叽玛快餐店,50,,9,,
咔叽玛番茄酱,蓝,0,为当前角色恢复2350点生命值。,"「献给某某的花束-一支狼桃花」任务道具
PS：实际上就是番茄百分百果冻，唯一，不要用。","羁遇「献给某某的花束-一支狼桃花」剧情获得
小吱 3级羁遇 好感度任务
不可再生，不要用掉！","食物、礼物、特殊获取、不可再生
生命、数值、单体、一次性",咔叽玛快餐店,50,,0,,
咔叽玛薯霸,绿,300,队伍中所有角色暴击率增加4%，持续180秒。多人游戏时，仅对自己的角色生效。,"咬一口，停不住！
Once you chop, you can't stop!","咔叽玛快餐店(桥间地)
咔叽玛快餐店(绘空町)
咔叽玛快餐店(米格尔区)","食物、礼物、可购买
暴击、暴击率、百分比、持续、全队",咔叽玛快餐店,50,埃德嘉,6,,
玫瑰荔枝蛋糕,紫,660,为当前角色恢复1600点生命值，并在之后的30秒内，每5秒恢复416点生命值。,玫瑰调味的鲜果啫喱与荔枝果肉奶油层叠交融，呈现出浪漫的花香与清新的果香。是本店的浪漫人气甜品~,"爱丽丝烘焙坊(桥间地)  
爱丽丝烘焙坊(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性、持续",爱丽丝烘焙坊,50,小吱,13.2,,
奶油柿子千层,紫,660,当前角色恢复生命值上限的22%，并额外回复1600点生命值。,这份千层蛋糕的精髓是每日现做的柿子果酱与手剥柿子溏心，店里每天只能供应8份，想要吃到一定要早点来！,"爱丽丝烘焙坊(绘空町)
爱丽丝烘焙坊(米格尔区)","食物、礼物、可购买
生命、数值、百分比、混合、单体、一次性",爱丽丝烘焙坊,50,,13.2,,
开心果榛子千层,紫,660,为当前角色恢复生命值上限的22%，并在之后的30秒内，每5秒恢复416点生命值。,层层酥脆的千层蛋糕，夹杂着香浓的榛子奶油与开心果酱。是不计热量的美味甜点，用它来作为工作日最后一天的奖励吧！,"爱丽丝烘焙坊(绘空町)
爱丽丝烘焙坊(米格尔区)
爱丽丝烘焙坊(新赫兰德区)","食物、礼物、可购买
生命、数值、百分比、混合、单体、一次性、持续",爱丽丝烘焙坊,50,,13.2,,
青酱培根司康,蓝,600,为当前角色恢复生命值上限的20%，并额外回复1450点生命值。,外脆内软的司康，搭配罗勒青酱与香脆培根。是深受感喜爱的咸香点心！,"爱丽丝烘焙坊(桥间地)
爱丽丝烘焙坊(绘空町)
爱丽丝烘焙坊(米格尔区)
爱丽丝烘焙坊(新赫兰德区)","食物、礼物、可购买
生命、数值、百分比、混合、单体、一次性",爱丽丝烘焙坊,50,,12,,
斑斓椰果子,蓝,480,为当前角色恢复850点生命值，并在之后的30秒内，每5秒恢复377点生命值。,色泽清新的斑斓椰果子，内里是香甜的椰子奶霜酱，一口咬下去超级柔软！,"爱丽丝烘焙坊(桥间地)
爱丽丝烘焙坊(绘空町)
爱丽丝烘焙坊(米格尔区)
爱丽丝烘焙坊(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性、持续",爱丽丝烘焙坊,50,,9.6,,
莓果总汇奶油长棍面包,蓝,480,为当前角色恢复生命值上限的20%，并额外回复850点生命值。,黄油奶油在新鲜出炉的长棍面包表面轻微融化，内里酸甜的莓果奶油保持冰凉的口感，为你带来冰火两重天的独特感受！,"爱丽丝烘焙坊(桥间地)
爱丽丝烘焙坊(米格尔区)
爱丽丝烘焙坊(新赫兰德区)","食物、礼物、可购买
生命、数值、百分比、混合、单体、一次性",爱丽丝烘焙坊,50,,9.6,,
沸腾炼金术,紫,600,队伍中所有角色消耗的体力降低20%，持续900秒。多人游戏时，仅对自己的角色生效。,牛奶与咖啡在适宜温度下的完美融合，这不是魔法，是现代炼金术！,"9°C咖啡店(桥间地)
9°C咖啡店(绘空町)
9°C咖啡店(米格尔区)
9°C咖啡店(新赫兰德区)","食物、礼物、可购买
体力、消耗降低、百分比、持续、全队",9°C咖啡店,50,,12,,
热巧元气弹,紫,600,队伍中所有角色体力回复速度提升20%，持续900秒。多人游戏时，仅对自己的角色生效。,由热巧克力、双倍浓缩咖啡、鲜奶油调和而成，既能提神也能供应充足的能量，给你提供满元元气！,"9°C咖啡店(桥间地)
9°C咖啡店(绘空町)
9°C咖啡店(米格尔区)
9°C咖啡店(新赫兰德区)","食物、礼物、可购买
体力、回复提速、百分比、持续、全队",9°C咖啡店,50,,12,,
白胡子拍档,紫,600,队伍中所有角色体力回复速度提升15%，持续900秒。多人游戏时，仅对自己的角色生效。,让双唇与绵密的奶泡来一次亲密接触吧，要小心奶泡底下滚烫的咖啡哦！,"9°C咖啡店(桥间地)
9°C咖啡店(绘空町)
9°C咖啡店(米格尔区)
9°C咖啡店(新赫兰德区)","食物、礼物、可购买
体力、回复提速、百分比、持续、全队",9°C咖啡店,50,,12,,
夏日冷萃,蓝,450,队伍中所有角色消耗的体力降低15%，持续900秒。多人游戏时，仅对自己的角色生效。,丝丝沁凉的冷萃咖啡，为您卷走夏日的暑气与班味。,"9°C咖啡店(桥间地)
9°C咖啡店(绘空町)
9°C咖啡店(米格尔区)
9°C咖啡店(新赫兰德区)","食物、礼物、可购买
体力、消耗降低、百分比、持续、全队",9°C咖啡店,50,九原,9,,
砂海白,蓝,450,队伍中所有角色体力回复速度提升15%，持续900秒。多人游戏时，仅对自己的角色生效。,砂海白的灵感源于店主人生中第一杯拿铁，其中掺杂着家乡的海风，和姥姥亲手研磨的黄冰糖的味道。,"9°C咖啡店(桥间地)
9°C咖啡店(绘空町)
9°C咖啡店(米格尔区)
9°C咖啡店(新赫兰德区)","食物、礼物、可购买
体力、回复提速、百分比、持续、全队",9°C咖啡店,50,,9,,
猫猫猛锤荔浦芋头布丁奶茶,蓝,450,队伍中所有角色攻击力增加75，持续180秒。多人游戏时，仅对自己的角色生效。,蒸得软软糯糯的荔浦芋头超好欺负喵！左右开弓摇打喵！这次就放过布丁喵！,"抽风猫奶茶铺(桥间地)
抽风猫奶茶铺(绘空町)
抽风猫奶茶铺(米格尔区)
抽风猫奶茶铺(新赫兰德区)","食物、礼物、可购买
攻击力、数值、持续、全队",抽风猫奶茶铺,50,"薄荷
小吱",9,,
猫猫噗通噗通黑糖丸子脏脏茶,蓝,450,队伍中所有角色防御力增加75，持续180秒。多人游戏时，仅对自己的角色生效。,猫猫噗通噗通用尽全力喵，每一颗都是爱你的形状喵！,"抽风猫奶茶铺(桥间地)
抽风猫奶茶铺(绘空町)
抽风猫奶茶铺(米格尔区)
抽风猫奶茶铺(新赫兰德区)","食物、礼物、可购买
防御力、数值、持续、全队",抽风猫奶茶铺,50,早雾,9,,
猫猫讨厌柠檬冰茶,蓝,450,队伍中所有角色暴击率增加6%，持续180秒。多人游戏时，仅对自己的角色生效。,猫猫大人躲远远喵，酸酸茶都是坏仆人的主意喵！,"抽风猫奶茶铺(桥间地)
抽风猫奶茶铺(绘空町)
抽风猫奶茶铺(米格尔区)
抽风猫奶茶铺(新赫兰德区)","食物、礼物、可购买
暴击、暴击率、百分比、持续、全队",抽风猫奶茶铺,50,,9,,
猫猫惬意鱼治摸茶,蓝,450,队伍中所有角色暴击伤害增加12%，持续180秒。多人游戏时，仅对自己的角色生效。,帅气爪子摸一摸，茶也能变得更美味喵！摸完茶要堂堂正正摸鱼喵！,"抽风猫奶茶铺(桥间地)
抽风猫奶茶铺(绘空町)
抽风猫奶茶铺(米格尔区)
抽风猫奶茶铺(新赫兰德区)","食物、礼物、可购买
暴击、暴击伤害、百分比、持续、全队",抽风猫奶茶铺,50,达芙蒂尔,9,,
「惬意猫猫鱼」,绿,0,队伍中所有角色暴击率增加6%，持续180秒。多人游戏时，仅对自己的角色生效。,达芙蒂尔凭印象记下的名字「猫猫鱼」，听起来比奶茶原本的名字更顺口,"羁遇「视线之外-奶茶的本质？」剧情获得
达芙蒂尔 3级羁遇 好感度任务
抽风猫奶茶铺(桥间地)
不可再生，不要用掉！","食物、礼物、特殊获取、不可再生
暴击、暴击率、百分比、持续、全队",抽风猫奶茶铺,50,达芙蒂尔,,,
心迷宫,金,1800,队伍中所有角色暴击率增加12%，持续600秒。多人游戏时，仅对自己的角色生效。,柑橘和香料勾勒出回忆的轮廓。人们的过去撕碎又缝补在一起，觥筹交错间分不清那些真心假意，那就不妨不分。,"A.R.P.T.SBar(米格尔区)
A.R.P.T.SBar(新赫兰德区)","食物、礼物、可购买
暴击、暴击率、百分比、持续、全队",A.R.P.T.SBar,50,"法帝娅
残虹",36,,
浪人的班卓琴,金,1800,队伍中所有角色暴击伤害增加24%，持续600秒。多人游戏时，仅对自己的角色生效。,带有淡淡的烟熏味和坚果香味，混合一点麦芽的甜香，余味悠长。浪人说，令他安心的地方便是家，新的家人正随着琴声打拍起舞。到明天以前，这里都是流浪的终点。,"A.R.P.T.SBar(米格尔区)
A.R.P.T.SBar(新赫兰德区)","食物、礼物、可购买
暴击、暴击伤害、百分比、持续、全队",A.R.P.T.SBar,50,阿德勒,36,,
角斗士之歌,金,1800,队伍中所有角色攻击力增加150，持续600秒。多人游戏时，仅对自己的角色生效。,丰富的焦糖味夹杂着恰到好处的苦涩，回味带有一丝橡木的香气。向你致敬，我的朋友，向我们生活中的每一场战斗致敬。,"A.R.P.T.SBar(米格尔区)
A.R.P.T.SBar(新赫兰德区)","食物、礼物、可购买
攻击力、数值、持续、全队",A.R.P.T.SBar,50,翳（狗哥）,36,,
海特威,紫,600,队伍中所有角色攻击力增加100，持续180秒。多人游戏时，仅对自己的角色生效。,"「抓住今天。」
从大木桶的水龙头里接出一大杯气泡四溢、深金色的「海特威」，与身边的朋友或是陌生人高举双手，纵情欢笑，将所有的不愉快抛诸脑后，沉浸在此刻的满足之中吧！","A.R.P.T.SBar(米格尔区)
A.R.P.T.SBar(新赫兰德区)","食物、礼物、可购买
攻击力、数值、持续、全队",A.R.P.T.SBar,50,,12,,
经典提拉米苏,蓝,480,为当前角色恢复生命值上限的32%。,咖啡和柔脂乳酸，一对甜蜜拍档——「带我走吧！」,"Felicità Gelato冰淇淋店(桥间地)
碎雪冰淇淋店(绘空町)
Felicità Gelato冰淇淋店(米格尔区)
Felicità Gelato冰淇淋店(新赫兰德区)","食物、礼物、可购买
生命、百分比、单体、一次性",冰淇淋店,50,,9.6,,
奶油香草梦,蓝,480,为当前角色恢复2350点生命值。,一百万颗香草籽陷入了奶油做的云朵——用你的嘴唇融化这份柔软的香甜吧！,"Felicità Gelato冰淇淋店(桥间地)
碎雪冰淇淋店(绘空町)
Felicità Gelato冰淇淋店(米格尔区)
Felicità Gelato冰淇淋店(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、一次性",冰淇淋店,50,,9.6,,
缤纷香果派对,蓝,480,当前角色在之后的30秒内，每5秒回复611生命值。,芒果、菠萝和香蕉的派对，带着你直接飞往热带岛屿，在夏夜晚风中随着尤克里里的节拍，舞！舞！舞！,"Felicità Gelato冰淇淋店(桥间地)
碎雪冰淇淋店(绘空町)
Felicità Gelato冰淇淋店(米格尔区)
Felicità Gelato冰淇淋店(新赫兰德区)","食物、礼物、可购买
生命、数值、单体、持续",冰淇淋店,50,,9.6,,
