名称,稀有度,价格,用途,介绍,获取途径,标签,类型,子类型,规格,家装系列,舒适度,收藏值,角色特殊互动,pics,,
暖橙沙发-L型,金,45000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。L型的橙色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,多彩沙发系列,90,450,,暖橙沙发-L型,,
流云舒,金,30000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,如流云般舒展的造型，躺上去就像是躺在云朵上。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,L,,60,300,,流云舒,,
墨白沙发-多人,金,45000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。黑白配色的多人沙发，时尚舒适，轻松融入多种家居环境。,超规格家饰馆(米格尔区),家装、可购买,家具,沙发,L,黑白灰沙发系列,90,450,,墨白沙发-多人,,
墨白沙发-单人,金,37500,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。黑白配色的单人沙发，时尚舒适，轻松融入多种家居环境。,超规格家饰馆(米格尔区),家装、可购买,家具,沙发,M,黑白灰沙发系列,75,375,,墨白沙发-单人,,
墨白沙发-L型,金,52500,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。L型的黑白沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,黑白灰沙发系列,105,525,,墨白沙发-L型,,
玄月独座,金,33000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。轻盈柔软的单人沙发，配色简约时尚，放松身心的同时也能装点家居。,超规格家饰馆(米格尔区),家装、可购买,家具,沙发,M,,66,330,,玄月独座,,
黑金沙发-多人,金,48000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。皮质的黑色长沙发，光泽丰盈，质感颇佳，能够适应各种家居风格。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,,96,480,,黑金沙发-多人,,
灰羽长座,金,30000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。灰色的长形软座，触感柔软，治愈身心，适合摆放在家中一隅。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,,60,300,,灰羽长座,,
米灰沙发-多人,金,30000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。长条形的灰色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,黑白灰沙发系列,60,300,,米灰沙发-多人,,
米灰沙发-单人,紫,22500,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。单人座灰色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,M,黑白灰沙发系列,45,225,,米灰沙发-单人,,
米灰沙发-L型,金,45000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。L型的灰色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,黑白灰沙发系列,90,450,,米灰沙发-L型,,
玄墨沙发-多人,金,30000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。长条形的黑色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,黑白灰沙发系列,60,300,,玄墨沙发-多人,,
玄墨沙发-单人,紫,22500,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。单人座黑色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,M,黑白灰沙发系列,45,225,,玄墨沙发-单人,,
玄墨沙发-L型,金,45000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。L型的黑色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,黑白灰沙发系列,90,450,,玄墨沙发-L型,,
懒懒窝,紫,27000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。鹅黄色的懒人沙发，柔软舒适，是放松身心的不错选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,M,,54,270,,懒懒窝,,
绒墨沙发-双人,金,37500,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。双人座黑灰沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,M,黑白灰沙发系列,75,375,,绒墨沙发-双人,,
月白沙发-单人,紫,9000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。简洁的月白色方形软座，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(米格尔区),家装、可购买,家具,沙发,M,黑白灰沙发系列,18,90,,月白沙发-单人,,
月白沙发-双人,紫,12000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。简洁的月白色双人沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(米格尔区),家装、可购买,家具,沙发,M,黑白灰沙发系列,24,120,,月白沙发-双人,,
云蓝软椅,蓝,15000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,框架与柔软蓝垫的完美结合，清新简约的设计怎么搭配都不会失误。,超规格家饰馆(米格尔区),家装、可购买,家具,椅子,S,,30,150,,云蓝软椅,,
云红杯座,蓝,15000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,形似高脚杯的座椅，造型独特又舒适。,超规格家饰馆(米格尔区),家装、可购买,家具,椅子,M,,30,150,,云红杯座,,
云蓝高座,蓝,15000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,流线型白色椅身与分层的蓝色底座构成完美对比，是装饰与实用兼备的家居品。,超规格家饰馆(绘空町),家装、可购买,家具,椅子,M,,30,150,,云蓝高座,,
雅致方凳,蓝,9000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,雅致简约的方凳设计，适配多种家居风格。,超规格家饰馆(新赫兰德区),家装、可购买,家具,椅子,M,,18,90,,雅致方凳,,
晴空椅,绿,6000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,清雅的配色，很适合坐在阳台上晒太阳。,超规格家饰馆(新赫兰德区),家装、可购买,家具,椅子,S,,12,60,,晴空椅,,
格调复古椅,绿,6000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,编织风和金属的碰撞，这时候应该放一首老歌。,超规格家饰馆(米格尔区),家装、可购买,家具,椅子,S,,12,60,,格调复古椅,,
珍珠贝,蓝,9000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,以实用为主的现代家装，不会出错的款式。,超规格家饰馆(新赫兰德区),家装、可购买,家具,椅子,S,,18,90,,珍珠贝,,
矮脚椅,紫,22500,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。颇有质感的矮椅，亲肤舒适，为家居空间增添放松的一角。,超规格家饰馆(米格尔区),家装、可购买,家具,椅子,M,,45,225,,矮脚椅,,
棕木椅,蓝,9000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。轻便实用的经典木制椅子，是家中不可或缺的实用坐具。,超规格家饰馆(米格尔区),家装、可购买,家具,椅子,M,,18,90,,棕木椅,,
零压椅,蓝,12000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。科学设计，久坐不累，可以极大缓解长时间工作的疲劳。,超规格家饰馆(新赫兰德区),家装、可购买,家具,椅子,M,,24,120,,零压椅,,
软云椅,蓝,10800,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。简约的白色使它几乎适配所有风格的家装，设计贴合人体，美观舒适。,超规格家饰馆(绘空町),家装、可购买,家具,椅子,M,,21,108,,软云椅,,
旋翠椅,蓝,9600,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。醒目的青翠色椅子，纹理自然有质感，久坐不塌陷，是居家休闲的首选。,超规格家饰馆(绘空町),家装、可购买,家具,椅子,M,,19,96,,旋翠椅,,
轻白吧椅,蓝,8400,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。造型简约百搭，稳固耐用，适合与现代厨房岛台或吧台搭配使用。,超规格家饰馆(米格尔区),家装、可购买,家具,椅子,S,,16,84,,轻白吧椅,,
家用办公椅,金,100000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以用来在家里办一场椅子竞速赛，也可以用来不停地转圈。,超规格家饰馆(米格尔区),家装、可购买,家具,椅子,S,,200,1000,真红,家用办公椅,,
甜粉酣梦,金,30000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,一张能够消除疲劳的床。粉紫配色的床品，为您带来一个甜美的梦。,超规格家饰馆(绘空町),家装、可购买,家具,床,L,,60,300,,甜粉酣梦,,
深蓝静梦,金,30000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,一张能够消除疲劳的床。蓝灰配色的床品，为您带来一个静谧的梦。,超规格家饰馆(米格尔区),家装、可购买,家具,床,L,,60,300,,深蓝静梦,,
晨露美梦,金,30000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,一张能够消除疲劳的床。浅粉配色的床品，为您带来一个澄澈的梦。,超规格家饰馆(新赫兰德区),家装、可购买,家具,床,L,,60,300,,晨露美梦,,
淡绯梦,金,30000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以提升归属感的家装。颜色耐看，搭配浅色床品更显温馨。为卧室增添一抹柔和的暖调，助眠效果显著。,超规格家饰馆(绘空町),家装、可购买,家具,床,L,,60,300,,淡绯梦,,
黑镜吧台,紫,20000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。设计现代简约的黑色吧台，台面光滑如镜，能有效提升空间整体质感。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,L,,40,200,,黑镜吧台,,
星镜吧台,紫,20000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。台面质感细腻，搭配成套的高脚吧椅，与现代厨房或客厅空间自然融合。,超规格家饰馆(绘空町),家装、可购买,家具,桌子,L,,40,200,,星镜吧台,,
黑曜石桌,蓝,10400,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。独特的锥形设计，顶部为大理石面，适合小型空间使用。,超规格家饰馆(绘空町),家装、可购买,家具,桌子,S,,20,104,,黑曜石桌,,
锥形白,蓝,9600,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。锥形底座和圆形大理石桌面，设计简约而不失优雅，适用于现代家居。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,S,,19,96,,锥形白,,
条纹圆几,蓝,14400,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。圆形桌面上放射状的单色图案如星光般耀眼，搭配金属支架，很有时尚感。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,S,,28,144,,条纹圆几,,
红木餐桌,蓝,10800,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,配套的实木桌椅。结实耐用，质感光滑，适合双人用餐，家常菜的香气渗透进平静的每一天，日常亦是奇迹。,超规格家饰馆(新赫兰德区),家装、可购买,家具,桌子,M,,21,108,,红木餐桌,,
蓝白餐桌,蓝,12000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,配套的木制桌椅。搭配有蓝白格的桌布，适合家庭用餐，辛劳一天之后，回家用热气腾腾的晚饭来抚平生活的褶皱吧。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,M,,24,120,,蓝白餐桌,,
黑曜餐桌,紫,16000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,配套的大理石桌椅。设计简约高级，适合多人用餐，尽管是冷色调，但被宴会上海腾的情绪感染后也会变得柔和一些呢。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,L,,32,160,,黑曜餐桌,,
原木储物桌,绿,8000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。实用抽屉与精致木材的结合，既可用于储物又兼具装饰功能。,"超规格家饰馆(绘空町)
可拾取，参考BV1TKGU62EBW",家装、可购买、可拾取,家具,桌子,S,原木系列,16,80,,原木储物桌,,
原木书桌,蓝,12000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。光滑木纹桌面与细长抽屉结合，优雅又实用。,"超规格家饰馆(绘空町)
可拾取，参考BV1TKGU62EBW",家装、可购买、可拾取,家具,桌子,M,原木系列,24,120,,原木书桌,,
白石茶几-方,紫,18000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,大理石质感的家具。设计简约的方形素白茶几，触感细腻，适配多元空间。,超规格家饰馆(新赫兰德区),家装、可购买,家具,桌子,M,,36,180,,白石茶几-方,,
白石茶几-长,紫,21600,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,大理石质感的家具。设计简约的长形素白茶几，触感细腻，适配多元空间。,超规格家饰馆(新赫兰德区),家装、可购买,家具,桌子,L,,43,216,,白石茶几-长,,
浮圆长几,紫,25200,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。椭圆形的双层悬浮长几，独特的设计使其为家居增色不少。,超规格家饰馆(新赫兰德区),家装、可购买,家具,桌子,M,,50,252,,浮圆长几,,
澄明方几,蓝,13500,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。极简的玻璃设计，具有极强的通透感与可塑性，适配多种家居风格。,超规格家饰馆(新赫兰德区),家装、可购买,家具,桌子,M,,27,135,,澄明方几,,
黑星长几,蓝,13500,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。双层设计，稳固结实，超大台面提供更多摆放空间。,超规格家饰馆(新赫兰德区),家装、可购买,家具,桌子,M,,27,135,,黑星长几,,
复古圆桌,蓝,10800,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。具有独特的圆锥形底座设计，稳固实用，柔化家居线条。,超规格家饰馆(新赫兰德区),家装、可购买,家具,桌子,S,,21,108,,复古圆桌,,
原木茶几,蓝,9000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。结实耐用的木制茶几，满足实用需求的同时也承担了装饰功能。,超规格家饰馆(新赫兰德区),家装、可购买,家具,桌子,S,原木系列,18,90,,原木茶几,,
棕木台几,蓝,14400,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。棕色的橡木台面，触感细腻，适合搭配不同风格的家居空间。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,L,,28,144,,棕木台几,,
浮屿台几,紫,16000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。不规则的外观使其颇具意趣，与多种风格的室内设计相得益彰。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,L,,32,160,,浮屿台几,,
简白圆几,蓝,12000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。小巧的白色圆几，简单朴素，填补家中角落的空缺。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,S,,24,120,,简白圆几,,
多态长桌,紫,20000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。多功能的大面积长桌，台面平整舒适，是居家办公和学习的首选。,"超规格家饰馆(绘空町)
超规格家饰馆(米格尔区)
【绘空町店卖17600，便宜2400】",家装、可购买,家具,桌子,L,,40,200,,多态长桌,,
玄岩长桌,紫,17600,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,配套的大理石桌椅。触感光滑冰凉，适合多人用餐，坚实的长桌承载着杯盏碗碟，桌边的我们承载着彼此。,"暂无
【价格按照收藏值推测得到】",家装、不可购买,家具,桌子,L,,35,176,,玄岩长桌,,
黑胡桃木书桌,紫,18000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,黑胡桃实木打造，环保无污染，边角经过圆润打磨，老人孩子也均可放心使用。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,L,,36,180,,黑胡桃木书桌,,
原木电脑桌,紫,10800,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。浅木色表面耐刮耐磨，适配书房、卧室或工作室，营造清爽高效办公氛围。,超规格家饰馆(绘空町),家装、可购买,家具,桌子,L,原木系列,22,108,,原木电脑桌,,
红木桌,紫,9000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。耐重压且不易变形，可作茶桌、书桌或会议桌，轻松家居环境的品质感。,超规格家饰馆(绘空町),家装、可购买,家具,桌子,L,,18,90,,红木桌,,
原木餐桌,蓝,10800,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。木蜡油涂层开放透气，食物洒落不宜留痕，自然木色让每日用餐更添亲切。,超规格家饰馆(米格尔区),家装、可购买,家具,桌子,M,,22,108,,原木餐桌,,
展示柜-黑,紫,24000,装饰家里的柜子，可摆放手办和扭蛋，收录后增加收藏值，摆放在家中可增加舒适度。,实用型收纳家具。黑色框架与浅木层板的撞色设计，为物品提供整洁简约的现代展示空间。,"DSD潮玩店(桥间地)
DSD潮玩店(米格尔区)",家装、可购买,家具,柜子,L,,48,240,,展示柜-黑,,
展示柜-白,紫,30000,装饰家里的柜子，可摆放手办和扭蛋，收录后增加收藏值，摆放在家中可增加舒适度。,实用型收纳家具。纯白色的设计，为物品提供整洁简约的现代展示空间。,"DSD潮玩店(绘空町)
DSD潮玩店(新赫兰德区)",家装、可购买,家具,柜子,L,,60,300,,展示柜-白,,
奇巧书柜,紫,22500,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。令人耳目一新的设计，适合分类收纳书籍，实用美观，是装点家居的不二之选。,超规格家饰馆(绘空町),家装、可购买,家具,柜子,L,,45,225,,奇巧书柜,,
原木矮柜,紫,18000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。长型的矮脚置物柜，容量颇大，适合放置摆件与收纳杂物。,超规格家饰馆(绘空町),家装、可购买,家具,柜子,L,原木系列,36,180,,原木矮柜,,
原木陈列架,紫,19800,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。自然与实用结合，稳固结实，提供超大展示空间。,超规格家饰馆(绘空町),家装、可购买,家具,柜子,L,原木系列,39,198,,原木陈列架,,
原木斗柜,蓝,10800,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。提供大容量收纳空间的双层斗柜，可适配多种系列家具，作为家居点缀。,超规格家饰馆(绘空町),家装、可购买,家具,柜子,L,原木系列,21,108,,原木斗柜,,
白石矮柜,紫,16200,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,大理石质感的家具。长型的矮脚置物柜，容量颇大，适合放置摆件与收纳杂物。,超规格家饰馆(米格尔区),家装、可购买,家具,柜子,L,,32,162,,白石矮柜,,
原木书架,紫,18000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。多层的原木书架，结构稳固，可以容纳上百万本书籍。,超规格家饰馆(绘空町),家装、可购买,家具,柜子,L,原木系列,36,180,,原木书架,,
原木书柜,蓝,16200,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。设计有可调节层板，收纳书籍的同时也能放置摆件，,超规格家饰馆(绘空町),家装、可购买,家具,柜子,L,原木系列,32,162,,原木书柜,,
双层斗柜,蓝,9000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。提供大容量收纳空间的双层斗柜，可适配多种系列家具，作为家居点缀。,超规格家饰馆(米格尔区),家装、可购买,家具,柜子,S,,18,90,,双层斗柜,,
多功能矮柜,蓝,14400,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。带有衣架的置物柜，方便实用，满足日常生活多种需求。,超规格家饰馆(米格尔区),家装、可购买,家具,柜子,L,,28,144,,多功能矮柜,,
床头小柜,蓝,9900,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。柜面保留木材原始纹理，尺寸适配标准床具高度，满足日常置物与收纳功能。,超规格家饰馆(米格尔区),家装、可购买,家具,柜子,S,,19,99,,床头小柜,,
棕木矮柜,蓝,13500,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,棕木制作的家具。长型的矮脚置物柜，容量颇大，适合放置摆件与收纳杂物。,超规格家饰馆(米格尔区),家装、可购买,家具,柜子,M,,27,135,,棕木矮柜,,
原木多功能柜,蓝,12600,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。可满足书柜、餐边柜或展示架等多种需求。灵活适应各种户型，让有限面积发挥最大潜能。,超规格家饰馆(新赫兰德区),家装、可购买,家具,柜子,L,原木系列,25,126,,原木多功能柜,,
原木衣橱,蓝,12600,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。平开门节省过道空间，清新木色百搭各类家居风格，让收纳也成为装饰的一部分。,超规格家饰馆(新赫兰德区),家装、可购买,家具,柜子,L,原木系列,25,126,,原木衣橱,,
原木橱柜,蓝,10800,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。内里分格妥帖，使家居空间更显整洁有序。,超规格家饰馆(新赫兰德区),家装、可购买,家具,柜子,L,原木系列,22,108,,原木橱柜,,
原木收纳橱,蓝,10800,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。零碎小物分类存放，取放便捷。不占空间，却大幅提升收纳效率。,超规格家饰馆(新赫兰德区),家装、可购买,家具,柜子,L,原木系列,22,108,,原木收纳橱,,
原木壁橱,蓝,10800,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。内部隔板承重力强，自然木色与各类墙面自然融合，让空间变得干净利落。,超规格家饰馆(新赫兰德区),家装、可购买,家具,柜子,L,原木系列,22,108,,原木壁橱,,
原木立式柜,蓝,10800,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。充分利用垂直空间，适配各类风格，成为必不可少的家居美学焦点。,超规格家饰馆(新赫兰德区),家装、可购买,家具,柜子,L,原木系列,22,108,,原木立式柜,,
纯白方台,紫,16000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,能满足多种使用需求的桌子。双层方形设计叠合，现代白色整体简约大气，适用多种风格的室内空间。,超规格家饰馆(米格尔区),家装、可购买,家具,柜子,S,,32,160,,纯白方台,,
原木收纳柜,蓝,13500,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,实木打造的家具，保留了木质独有的纹理。设计简洁实用，为收纳难题提供了优雅的解决方案。,"超规格家饰馆(绘空町)
可拾取，参考BV1TKGU62EBW",家装、可购买、可拾取,家具,柜子,S,原木系列,27,135,,原木收纳柜,,
