名称,稀有度,价格,用途,介绍,获取途径,标签,pics,,
LaVelox,金,10800000,在路边使用后呼叫车辆LaVelox。,LaVelox，搭载混合动力系统，结合尖端引擎和最新科技材料，重新定义，什么是超跑。,雷加利亚车行,重要物品、可购买、便捷条、车钥匙,LaVelox,,
Pendragon,金,12000000,在路边使用后呼叫车辆Pendragon。,Pendragon，雷加利亚对未来探索的最新力作，用科技缔造新的超跑传奇。,雷加利亚车行,重要物品、可购买、便捷条、车钥匙,Pendragon,,
Novis ST-X 950,金,250000,在路边使用后呼叫车辆Novis ST-X 950。,雷加利亚的得意之作，传承超跑血统，搭配高性能发动机，每次加速都是对极限发起挑战。,雷加利亚车行,重要物品、可购买、便捷条、车钥匙,Novis ST-X 950,,
Blizzard-V4,金,2450000,在路边使用后呼叫车辆Blizzard-V4。,雷加利亚新款摩托，拥有独特的空气动力学外形与高性能动力系统，专为职业赛车手打造。,雷加利亚车行,重要物品、可购买、便捷条、车钥匙,Blizzard-V4,,
G3,金,200000,在路边使用后呼叫车辆G3。,G3，无可比拟的硬朗外形，搭配最先进的四轮驱动系统和豪华内饰，无论是商务还是休闲场合，让您在任何环境都从容自信。,TerraX车行,重要物品、可购买、便捷条、车钥匙,G3,,
K01,金,6800000/168CNY,在空旷处使用后呼叫车辆K01。,休闲型卡丁车，操纵灵活，强劲的引擎搭载氮气加速系统，让你充分感受到速度的乐趣！,购买「音速疾驰礼盒」,重要物品、可购买、特殊获取、便捷条、车钥匙,K01,,
Porsche 918 Spyder,金,13200000,在路边使用后呼叫车辆Porsche 918 Spyder。,Porsche 918 Spyder，超凡脱俗的未来感外形，无与伦比的驾驶动态，助力您的非凡人生。,"盲盒抽取
价格按最后4发盲盒方斯价格累加计算",重要物品、可购买、特殊获取、便捷条、车钥匙、玩法、盲盒,Porsche 918 Spyder,,
Draco,金,7200000,在路边使用后呼叫车辆Draco。,颠覆想象的设计，突破道路的局限。若穿着特定装备驾驶，则会变化为更具幻想色彩的特殊形态。,"盲盒抽取
价格按最后4发盲盒方斯价格累加计算",重要物品、可购买、特殊获取、便捷条、车钥匙、玩法、盲盒,Draco,,
心象碎片·「零」,金,0,提高「零」的觉醒等级。,提高「零」的觉醒等级。,剧情获取,重要物品、养成材料、角色,心象碎片·「零」,,
心象碎片·早雾,金,0,提高早雾的觉醒等级。,提高早雾的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·早雾,,
心象碎片·达芙蒂尔,金,0,提高达芙蒂尔的觉醒等级。,提高达芙蒂尔的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·达芙蒂尔,,
心象碎片·法帝娅,金,0,提高法帝娅的觉醒等级。,提高法帝娅的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·法帝娅,,
心象碎片·白藏,金,0,提高白藏的觉醒等级。,提高白藏的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·白藏,,
心象碎片·九原,金,0,提高九原的觉醒等级。,提高九原的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·九原,,
心象碎片·哈索尔,金,0,提高哈索尔的觉醒等级。,提高哈索尔的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·哈索尔,,
心象碎片·小吱,金,0,提高小吱的觉醒等级。,提高小吱的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·小吱,,
心象碎片·娜娜莉,金,0,提高娜娜莉的觉醒等级。,提高娜娜莉的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·娜娜莉,,
心象碎片·浔,金,0,提高浔的觉醒等级。,提高浔的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·浔,,
心象碎片·安魂曲,金,0,提高安魂曲的觉醒等级。,提高安魂曲的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·安魂曲,,
心象碎片·卡厄斯,金,0,提高卡厄斯的觉醒等级。,提高卡厄斯的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·卡厄斯,,
心象碎片·真红,金,0,提高真红的觉醒等级。,提高真红的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·真红,,
心象碎片·伊洛伊,金,0,提高伊洛伊的觉醒等级。,提高伊洛伊的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·伊洛伊,,
心象碎片·薄荷,紫,0,提高薄荷的觉醒等级。,提高薄荷的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·薄荷,,
心象碎片·哈尼娅,紫,0,提高哈尼娅的觉醒等级。,提高哈尼娅的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·哈尼娅,,
心象碎片·阿德勒,紫,0,提高阿德勒的觉醒等级。,提高阿德勒的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·阿德勒,,
心象碎片·埃德嘉,紫,0,提高埃德嘉的觉醒等级。,提高埃德嘉的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·埃德嘉,,
心象碎片·翳,紫,0,提高翳的觉醒等级。,提高翳的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·翳,,
心象碎片·海月,紫,0,提高海月的觉醒等级。,提高海月的觉醒等级。,重复获得角色卡转换,重要物品、养成材料、角色,心象碎片·海月,,
来自「伊波恩」的蛋糕,金,0,用来纪念一个好日子。,「浔提供了本次纪念日的全部资金，塔吉多负责了所有的采购工作，埃德嘉绘制了最完美的蛋糕制作图并由达芙蒂尔百分百完美复制，早雾和娜娜莉完成了蛋糕上的点缀，而阿德勒制作了蓬松的蛋糕胚，细腻的白奶油，甜蜜的果酱内馅，匀称的蛋糕抹面，以及每一位伊波恩成员的翻糖小人摆件……总得来说，纪念日的准备工作已经全部收尾，现在只差一个吹蜡烛的人。」,邮件附件获得。,重要物品、特殊获取、其他,来自「伊波恩」的蛋糕,,
嗯！硬币,金,0,可前往「迈达斯弧盘工房」兑换弧盘「千金难买你开心」。,承载许愿之力的硬币，是勤劳的纳库佩达赠予世人的馈赠，24小时不眠不休地推动命运的齿轮，实现人们的愿望。如果仔细聆听，大概冥冥之中会有一句：嗯！对你的愿望表示肯定。,「纳库佩达之池」许愿获得,重要物品、特殊获取、玩法、代币,嗯！硬币,,
大束红玫瑰,金,1000,「从捏造开始的恋爱大作战」任务道具,在任何时候都被认为是表达爱恋之心的必备品。总之，没有这个是不行的，但若是只有这个……也有人会觉得是一种不肯多动点脑子的敷衍表现。,"主线「从捏造开始的恋爱大作战」剧情获得
集山忘野花店(桥间地-水梨子大道西店)",重要物品、任务道具、消耗品、不可保留,大束红玫瑰,,
「随心泥」,金,1000,「从捏造开始的恋爱大作战」任务道具,DSD潮玩店新推出的异象玩具。在捏造时注入自身了解，即可还原实物材质与光泽的橡皮泥。很适合捏成宝石的样子做装饰，不过要注意摸上去还是软的！,"主线「从捏造开始的恋爱大作战」剧情获得
DSD潮玩店(桥间地-姆咪街店)",重要物品、任务道具、消耗品、不可保留,「随心泥」,,
噗卡限定珍珠贝糖,金,900,「从捏造开始的恋爱大作战」任务道具,口感爽滑、海洋风味的硬质糖果！每一粒都由定制贝壳装饰包裹，发售数量有限。,"主线「从捏造开始的恋爱大作战」剧情获得
噗卡糖果店(桥间地-火炬木大道店)",重要物品、任务道具、消耗品、不可保留,噗卡限定珍珠贝糖,,
兰斯起泡酒,金,450,「传说起点的究极漂移！」任务道具,"兰斯——为飞驰而生。
广告语的意思是：非常建议用于佳节晚宴、赛后庆祝、走亲访友，非常不建议作为燃料使用。","支线「传说起点的究极漂移！」剧情获得
2-Four便利店(米格尔区-北角镇店)",重要物品、任务道具、消耗品、不可保留,兰斯起泡酒,,
货车钥匙,金,30000,「写给你的逆行诗」任务道具,由于海鲜店老板的不信任，需要先付30000方斯的押金，才能得到货车钥匙……有点担心这些押金最后能不能要回来呢，不会到最后还要倒贴钱打工吧？,"支线「写给你的逆行诗」剧情获得
7-Oceans水产店(米格尔区-水菱湖路店)",重要物品、任务道具、消耗品、不可保留,货车钥匙,,
夏刑草,金,0,「写给你的逆行诗」任务道具,"夏刑草，遇夏枯靡，逢雪方生。
于是，那个连哭泣都不敢的雪人，用撼一座城市，逆一个季节的勇气——
为友人筑起了「永恒的冬天」。",支线「写给你的逆行诗」剧情获得,重要物品、任务道具、任务奖励,夏刑草,,
雪人小帕的照片,金,0,小帕离开后，你发现了一张它留下的照片。,这张照片，是你们之间仅剩的回忆纽带了……你没哭。只是眼睛里有点进雪。,支线「写给你的逆行诗」剧情获得,重要物品、任务道具、任务奖励,雪人小帕的照片,,
给薯条兽的礼物,金,300,「出发，美味调查队！」任务道具,深受顾客欢迎的「咔叽玛薯霸」，和薯条兽的薯条相比也毫不逊色。,"支线「出发，美味调查队！」剧情获得
咔叽玛快餐店(新赫兰德区)",重要物品、任务道具、消耗品、不可保留,给薯条兽的礼物,,
洋甘菊,金,0,「不言不知秋」任务道具,刚采下的花朵。据白藏介绍，花语是「不畏艰苦」。,番外「不言不知秋」剧情获得,重要物品、任务道具、消耗品、可保留,洋甘菊,,
玫瑰,金,0,「不言不知秋」任务道具,刚采下的花朵。据白藏介绍，花语是「热爱」。,番外「不言不知秋」剧情获得,重要物品、任务道具、消耗品、可保留,玫瑰,,
康乃馨,金,0,「不言不知秋」任务道具,刚采下的花朵。据白藏介绍，花语是「感谢、关怀」。,番外「不言不知秋」剧情获得,重要物品、任务道具、消耗品、不可保留,康乃馨,,
番茄百分百果冻-任务,金,300,「番茄酱暴走现场实录！」任务道具,安魂曲情有独钟的番茄果冻。酸甜适中，带着番茄独有的清新风味，是她最最眷恋的味道。,"番外「番茄酱暴走现场实录」剧情获得
番茄百分百专卖售货机",重要物品、任务道具、任务奖励,番茄百分百果冻-任务,,
冰淇淋全家桶,金,500,「番茄酱暴走现场实录！」任务道具,一份装得满满的多口味冰淇淋，融合香草、草莓、巧克力等多种经典口味，是家庭聚会和炎炎夏日的最佳选择。,"番外「番茄酱暴走现场实录」剧情获得
碎雪冰淇淋店(绘空町)",重要物品、任务道具、任务奖励,冰淇淋全家桶,,
隐藏款扭蛋,金,0,「柯林斯首领轶事-家族信物大作战！」任务道具,柯林斯家族的信物。与其他信物不同的是，你拥有的这枚是真正的隐藏款。,"羁遇「柯林斯首领轶事-家族信物大作战！」剧情获得
娜娜莉 3级羁遇 好感度任务",重要物品、任务道具、任务奖励,隐藏款扭蛋,,
白鲸书店会员卡,金,0,「自我表达指南-知识的厚度」任务道具,一张普通的会员卡。从边角的磨损可以看出它经常被拿出使用，但它的表面仍然光洁如新，证明所有者对它爱护有加。,"羁遇「自我表达指南-知识的厚度」剧情获得
埃德嘉 级羁遇 好感度任务",重要物品、任务道具、消耗品、不可保留,白鲸书店会员卡,,
崭新的弹珠,金,0,「一包辣条的约定」任务道具,弹珠可以再买，能偷偷吃辣条的机会可不多！,轶闻「一包辣条的约定」剧情获得,重要物品、任务道具、任务奖励,崭新的弹珠,,
钨丝赠送的开关,金,0,用于切换表里世界的开关，交互后会切换到另外一个世界，用另一个视角观察世界或许会有新的发现。,一个看起来普普通通的开关，按下吧，按下吧，将世界的表里一一看清。,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、不可保留、便捷条、快捷道具,钨丝赠送的开关,,
《狐狸的秋千》（旧）,金,0,「当秋千晃了一千下」任务道具,一本陈旧的故事书，上面沾染了颜料，已经看不清字迹了。,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、不可保留,《狐狸的秋千》（旧）,,
《狐狸的秋千》（新） ,金,0,「当秋千晃了一千下」任务道具,一本崭新的《狐狸的秋千》，讲述了小狐狸在荡秋千时经历的奇妙故事。,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、消耗品、不可保留,《狐狸的秋千》（新） ,,
一把钥匙 ,金,0,「当秋千晃了一千下」任务道具,一把被遗漏在衣服堆里的钥匙，或许能用来打开点什么。,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、消耗品、不可保留,一把钥匙 ,,
小猫布偶,金,0,「当秋千晃了一千下」任务道具,一只非常黄色的小猫布偶，为什么不摸摸它呢？,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、不可保留,小猫布偶,,
破损的红色小熊布偶,金,0,「当秋千晃了一千下」任务道具,一只红色的小熊布偶，看针线痕迹似乎是手工制作的。因为时间太久已经有些破损了，如果能找到针线盒的话还可以补救一下。,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、消耗品、不可保留,破损的红色小熊布偶,,
缝好的小熊布偶,金,0,「当秋千晃了一千下」任务道具,（一只红色的小熊布偶，已经修补好了破损的地方，那是爱和时间留下的痕迹。）,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、消耗品、不可保留,缝好的小熊布偶,,
残破的小熊布偶,金,0,「当秋千晃了一千下」任务道具,完全坏掉的小熊布偶，已经没办法修补了。拿着它总是会想起一些恐怖电影桥段……,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、不可保留,残破的小熊布偶,,
《让孩子喜欢的100道健康餐》,金,0,「当秋千晃了一千下」任务道具,蔬菜这样做，比肉还好吃。只需要掌握几个技巧，再也不用担心孩子挑食了。,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、不可保留,《让孩子喜欢的100道健康餐》,,
蛋糕配方,金,0,「当秋千晃了一千下」任务道具,"食材准备：
鸡蛋3个、玉米油35克、牛奶40克、低筋面粉50克、白砂糖30克、半个柠檬
制作步骤：
1.将蛋清蛋白分离至两个盆中.
2.重新取一个盆加入玉米油35克和牛奶40克搅拌成酸奶状。
3.加入蛋黄和低筋面粉划搅拌至顺滑状态。
4.从冰箱取出蛋清，加入柠檬汁，分三次加入白糖充分打发。
5.取1/3的蛋白霜加入蛋黄糊中混合均匀。
6.将混合好的蛋糕糊倒入蛋白霜盆中混合均匀。
7.将蛋糕糊倒入模具中，用牙签在将表面气泡划破。
8.送入烤箱上下火150度60分钟。",支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、消耗品、不可保留,蛋糕配方,,
帕蒂的设计稿,金,0,「当秋千晃了一千下」任务道具,帕蒂为自己的院子精心制作的设计图纸，倾注了很多心血，每个角落都考虑到了。,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、消耗品、不可保留,帕蒂的设计稿,,
黑色勾线墨水,金,0,「当秋千晃了一千下」任务道具,丝滑的勾线墨水，很适合用来绘制设计图。,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、不可保留,黑色勾线墨水,,
颜料罐,金,0,「当秋千晃了一千下」任务道具,装满了各种颜色的颜料，红色颜料非常充足，帕蒂正需要这个。,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、消耗品、不可保留,颜料罐,,
烧毁的发卡,金,0,「当秋千晃了一千下」任务道具,一枚被灼烧过的发卡，似乎是手工制品，现在已经染上了洗不去的焦黑，勉强还保留着原状,支线「当秋千晃了一千下」剧情获得,重要物品、任务道具、任务奖励,烧毁的发卡,,
浅绯祈-闪耀端盒套组,紫,36000,「赤龙的眼光-关于乐趣的品味」任务道具,为「邂逅~银月圆舞会」主题快闪特别推出的盲盒套装，包含全部的四种基础款浅绯祈玩偶，每一盒都有可能在开启时奏起一段未曾披露的隐藏旋律。,"羁遇「赤龙的眼光-关于乐趣的品味」剧情获得
真红 5级羁遇 好感度任务",重要物品、任务道具、消耗品、不可保留,浅绯祈-闪耀端盒套组,,
浅绯祈-秘密星辉,蓝,15000,「赤龙的眼光-关于乐趣的品味」任务道具,为「邂逅~银月圆舞会」主题快闪特别推出的惊喜盲盒，可能开出四种以浅绯祈为原型设计的玩偶，更有全新设计的隐藏款式如灵动音符般悄然藏匿其中。,"羁遇「赤龙的眼光-关于乐趣的品味」剧情获得
真红 5级羁遇 好感度任务",重要物品、任务道具、任务奖励,浅绯祈-秘密星辉,,
浅绯祈-雏光浅梦,蓝,10000,「赤龙的眼光-关于乐趣的品味」任务道具,为「邂逅~银月圆舞会」主题快闪特别推出的Q版可动人偶，精致本体与丰富表情配件共同演奏了多变的旋律。,"羁遇「赤龙的眼光-关于乐趣的品味」剧情获得
真红 6级羁遇 好感度任务",重要物品、任务道具、任务奖励,浅绯祈-雏光浅梦,,
塔吉多的涂鸦册,金,0,塔吉多珍藏的涂鸦册，不久前还在鬼郎丸的肚子里。,所记录的塔吉多獭生美妙回忆不会沾上口水、留下牙印、蒙上灰尘。,支线「市民证」剧情获得,重要物品、任务道具、任务奖励,塔吉多的涂鸦册,,
塔吉多的仓库钥匙,金,0,伊波恩仓库的备用钥匙，拥有它将解锁伊波恩的仓库。,伊波恩仓库的备用钥匙。塔吉多将信任交给了你，和仓库中的珍宝一起。,支线「海特洛未来之星-塔吉多，大危机！」剧情获得,重要物品、任务道具、功能解锁、任务奖励,塔吉多的仓库钥匙,,
藏在书中的飞镖,绿,0,从书中获得的飞镖，或许在某些需要金属物品的地方派得上用场。,不知为何被夹在书中的飞镖，应该是某位前辈留下的，幸运地躲过了管教的检查。,「治安拘留所内隐藏任务」剧情获取,重要物品、特殊获取、任务道具、消耗品、不可保留,藏在书中的飞镖,,
（未来的）大师飞镖,金,0,「飞镖的奇妙漂流记」剧情获得,一位未来的飞镖大师，对于帮她找到飞镖的人的谢礼。拿上它吧，或许你也能成为飞镖大师！,佚闻「飞镖的奇妙漂流记」剧情获得,重要物品、任务道具、消耗品、不可保留,（未来的）大师飞镖,,
厚厚的文件袋,金,0,「载具杀手」剧情获得,受一位出车祸的司机委托传递的资料袋，他的弟弟似乎急需这份文件，把它送到折千市场便利店吧。,佚闻「载具杀手」剧情获得,重要物品、任务道具、消耗品、不可保留,厚厚的文件袋,,
普通的吉他,金,0,「被吃掉的旋律」剧情获得,一位游客在露营地丢失的吉他，把它交还给露营地的管理员吧。,佚闻「被吃掉的旋律」剧情获得,重要物品、任务道具、消耗品、不可保留,普通的吉他,,
奇异引火石,金,0,异闻：「漂流瓶与海滩篝火」任务道具,击打或摩擦易燃物，会燃起紫色火焰，遇水也无法浇灭。燃烧充分后，火焰自行消散。「给你的伙伴们变个戏法吧！」,异闻「漂流瓶与海滩篝火」剧情获得,重要物品、任务道具、消耗品、不可保留,奇异引火石,,
断落的剑柄,金,0,异闻：「黄金树之谜」任务道具,「曾属于某位流亡的君王。」,异闻「黄金树之谜」剧情获得,重要物品、任务道具、消耗品、不可保留,断落的剑柄,,
断落的剑格,金,0,异闻：「黄金树之谜」任务道具,「曾属于某位流亡的君王。」,异闻「黄金树之谜」剧情获得,重要物品、任务道具、消耗品、不可保留,断落的剑格,,
断落的剑刃,金,0,异闻：「黄金树之谜」任务道具,「曾属于某位流亡的君王。」,异闻「黄金树之谜」剧情获得,重要物品、任务道具、消耗品、不可保留,断落的剑刃,,
一挥即碎的锈刀,金,0,异闻：「海风捎来……」任务道具,刀尖断裂，铁锈层层剥落，镶嵌的装饰已被海水蚀出孔洞。刀柄缠着的布条腐蚀发黑，露出下面刻着的歪歪扭扭的小字：「杰瑞讨厌下雨，讨厌黑夜，讨厌火焰。」,异闻「海风捎来……」剧情获得,重要物品、任务道具、消耗品、不可保留,一挥即碎的锈刀,,
「三重奏」观光线,金,0,传闻在湛望角东边的Z42环海公路旁，有人看到过奥布里在那条人行道上散步。,"奥布里特供观光线，仅需「一」袋美味大骨头，即可拥有「三」重奏导游。
「很抱歉，目前仅供未成年乘坐。」
「让让，巨星出街。」
「汪！是榴莲味吗？」",支线「我们！意念！合一！」剧情获得,重要物品、任务道具、功能解锁、任务奖励,「三重奏」观光线,,
薄荷的密钥,金,0,薄荷办公室的进入权限。,"薄荷赠送的密钥，使用后可以进入薄荷的办公室。
特别备注：请勿帮薄荷收拾办公室。",薄荷 羁遇等级7级 羁遇奖励,重要物品、功能解锁、羁遇奖励,薄荷的密钥,,
读后感,金,0,"白鲸书店的会员卡，和埃德嘉一起读书吧。（使用后获取随机猎人攻略。）
",埃德嘉每周都会去参加白鲸书店的读书会，每周都会有新的收获。,埃德嘉 羁遇等级10级 羁遇奖励,重要物品、功能解锁、羁遇奖励,读后感,,
鬼狼丸磨牙棒,金,0,可以用它来模拟你的战斗招式。,早雾「赠送」的装饰品。早雾很高兴地送出了这份独一无二的礼物，总觉得上面还挂着亮晶晶的口水。,早雾 羁遇等级5级 羁遇奖励,重要物品、功能解锁、羁遇奖励,鬼狼丸磨牙棒,,
棉绒绒,金,0,"
使用后可以召唤「棉绒绒」，它们的忍耐值为零，受到攻击后会原地反击，化身肌肉猛兔，使出爱的勾拳。",「棉绒绒」是一种外形酷似白色兔子的温顺异象生物，依赖棉织品而生，会发出「棉花~棉棉」的声音，常在阳光充足的午后成群出现。被棉绒绒「加工」后的被子，会格外蓬松温暖，令人酣睡好梦，因此正常情况下，棉绒绒不存在威胁。但其对火焰极度敏感，一旦遭遇灼烧便会触发「狂暴化」，原本温顺的外表会在暴怒中彻底崩解，取而代之的是无穷的愤怒与铁拳。,支线「「棉绒绒」之乱」」剧情获得,重要物品、特殊获取、便捷条、快捷道具,棉绒绒,,
万花筒,金,0,花园中的女孩赠予的万花筒，用于切换场景的道具，交互后可看到此处的本质与真相。,转动它，窥见世界的本质。,主线「游梦洄廊」剧情获得,重要物品、特殊获取、便捷条、快捷道具、任务道具、可保留,万花筒,,
起司,金,0,使用后可以召唤「起司」，快门一响，万物定格，时光停驻，静默一切。但把世界定格成静止照片的效果仅有一次，绝无重拍机会。,「起司」外形酷似照相机，按下快门时，可使拍摄范围内所有生物都瞬间陷入「时间停滞」状态——身体无法移动，意识陷入沉寂，恍若被囚禁于一帧静止的画面中。起司是一次性异象，使用后会立刻泯除，普通人受「起司」影响严重，定格时间可长达数十小时，且事后完全丧失记忆，只能模糊记起刺眼的闪光灯。部分异能者仅会被定格住几分钟，且能清晰回忆起拍摄前的全部细节，包括相机持有者的身份。因其潜在用途包括暗杀、逃脱和挟制，普通人无缘得见，现主要流通于地下市场的悬赏交易中。,克莱门学院佚闻「」剧情获得,重要物品、特殊获取、便捷条、快捷道具、消耗品、唯一、不可再生,起司,,
向导,金,0,使用后召唤「向导」，「向导」将为你指引附近心仪之物的所在。跟着向导走，宝贝少不了。,最初，「向导」被发现于一场营救事件——某位在野外迷路的异象猎人，在昏暗的树林里遇见了一团漂浮的环形烟圈，它无声地变换着形状，为猎人指引方向，带他走出绝境。如今，这些烟圈形态的「向导」已随处可见，被投放至大型商场与旅游景点，取代了传统的导购员。当有人询问位置时，向导总知道捷径……虽然不一定是安全的。,克莱门学院佚闻「」剧情获得,重要物品、特殊获取、便捷条、快捷道具,向导,,
窥窥的墨镜,金,0,一副神秘的墨镜，镜片泛着微光，由「窥窥」精心收藏。,无人注意的墙缝里，寄居着名为「窥窥」的异象，它没有完整的形体，甚至没人说得清它的轮廓，因为目击者所能确认的，只有一只躲在墙缝后的眼睛。「窥窥」痴迷于观察人类生活的细枝末节：早餐摊蒸腾的热气、情侣在路灯下欲言又止的指尖、醉汉对着垃圾桶嘟囔的脏话……这些鲜活的生活都让它感到某种温暖的痒意。可惜这种小心翼翼的窥视，总会被人当成一种冒犯，随后发出惊叫与怒叱。现在……「窥窥」学聪明了，它收藏了一堆墨镜，笃定这是完美的伪装，幻想自己正戴着它们，坦然地融进这熙攘的人群。,克莱门学院佚闻「」剧情获得,重要物品、特殊获取、便捷条、快捷道具,窥窥的墨镜,,
换位思考滴眼液,金,0,将滴眼液滴入眼睛后，可暂时进入「其他人视角」来看世界。,滴入左眼——看见他的枷锁，滴入右眼——理解她的孤独。异象制品滴眼泪，滴完后可短暂进入「他人视角」，借一双眼睛，重新审视世界。滴完眼药水后，原本坐在公园长椅上的人，突然发现自己正四脚着地，变成了自家的宠物狗。但眼前一片模糊，风景褪色，整个世界都变得灰扑扑，这就是狗的视角啊，连红绿灯都分不清楚。但神奇的是，只要看到长椅上的「自己」，眼前就会变成明亮的黄色。原来在狗狗眼里……主人是会发光的。,克莱门学院佚闻「」剧情获得,重要物品、特殊获取、便捷条、快捷道具,换位思考滴眼液,,
尖叫电波,金,0,使用后召唤「尖叫电波」，为音频镀上复古质感，每段被电波抚摸过的声音，都在讲述一个关于时间的故事。,这台缠绕着老式真空管与跳频火花的异象制品收音机，永远在寻找「不够复古」的音乐。当它捕捉到忧郁旋律时，生锈的旋钮会疯狂自转，将曲子暴改成黑胶唱片特有的复古底噪。那些让老乐迷沉醉的「炒豆子杂音」，是收音机为失真的浪漫保留的频率，是时间洪流里不曾锈蚀的岁月。,佚闻「」剧情获得,重要物品、特殊获取、便捷条、快捷道具,尖叫电波,,
方盒随身听,金,0,使用后可播放音乐。,方盒随身听，出门时别忘记带上一盒音乐。,「都市大亨」大亨等级7级获得,重要物品、特殊获取、便捷条、快捷道具,方盒随身听,,
智能钥匙,金,0,可根据所处位置自由选择驾驶的车辆。,便捷出行，一把钥匙就够了！,「都市大亨」大亨等级13级获得,重要物品、特殊获取、便捷条、快捷道具,智能钥匙,,
