名称,稀有度,价格,用途,介绍,获取途径,标签,所属背包,子类型,适用角色,pics
异象实验线索·五,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异象实验线索·五
异象实验线索·六,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异象实验线索·六
鱼鳞币,蓝,0,可在「月亮湾」购买钓鱼所需的工具和材料。,"方斯在这里并非不流通，但在已经自成体系的钓鱼爱好者圈子里，有些东西的价值不是方斯能够衡量的。
「伙计，祝你永不空杆！」",「海上钓客」玩法获取,其他背包、常驻、货币、局外保留,海上钓客,货币、常驻,,鱼鳞币
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
,绿,,通过钓鱼获得，出售后可以获得鱼鳞币。,,"「海上钓客」玩法获取
钓点",其他背包、局外保留,海上钓客,鱼类、淡水鱼、海水鱼、可饲养,,
金贝铢,蓝,0,活动期间可在「即刻落槌」玩法中使用获得拍卖品。,珍珠置于骨碟之上，黄金在高脚杯中流淌。,「即刻落槌」玩法获取,其他背包、货币、限时、局外保留,即刻落槌,货币、限时,,金贝铢
,,,,,「即刻落槌」玩法获取,其他背包、限时、局外保留,即刻落槌,拍品、限时,,
