名称,稀有度,价格,用途,介绍,获取途径,标签,子类型,适用角色,pics
玉饼街专属-包子铺代金券,蓝,0,可在玉饼街包子铺消费时使用，抵扣200方斯。,玉饼街联合促销活动已开启，期待您的光临！,世界探索,道具、可拾取、代币,折扣券,,玉饼街专属-包子铺代金券
玉饼街专属-拉面店代金券,蓝,0,可在玉饼街拉面店消费时使用，抵扣200方斯。,玉饼街联合促销活动已开启，期待您的光临！,世界探索,道具、可拾取、代币,折扣券,,玉饼街专属-拉面店代金券
玉饼街专属-奶茶店代金券,蓝,0,可在玉饼街奶茶店消费时使用，抵扣200方斯。,玉饼街联合促销活动已开启，期待您的光临！,世界探索,道具、可拾取、代币,折扣券,,玉饼街专属-奶茶店代金券
玉饼街专属-烤鸭铺代金券,蓝,0,可在玉饼街烤鸭铺消费时使用，抵扣200方斯。,玉饼街联合促销活动已开启，期待您的光临！,世界探索,道具、可拾取、代币,折扣券,,玉饼街专属-烤鸭铺代金券
DSD扭蛋机抽奖券,金,0,DSD潮玩店发售的扭蛋机兑换券，可以免费抽一次扭蛋机。,DSD潮玩店发售的扭蛋机兑换券，可以免费抽一次扭蛋机。,活动获得,道具、特殊获取、代币,兑换券,,DSD扭蛋机抽奖券
DSD扭蛋机兑换卡,金,0,扭蛋回收所用的兑换卡，集齐一定数量可以在扭蛋机商店兑换指定商品。,扭蛋回收所用的兑换卡，集齐一定数量可以在扭蛋机商店兑换指定商品。,扭蛋机,道具、特殊获取、代币,代币,,DSD扭蛋机兑换卡
DSD扭蛋机高级兑换卡,金,0,扭蛋回收所用的高级兑换卡，集齐一定数量可以在扭蛋机商店兑换指定商品。,扭蛋回收所用的高级兑换卡，集齐一定数量可以在扭蛋机商店兑换指定商品。,扭蛋机,道具、特殊获取、代币,代币,,DSD扭蛋机高级兑换卡
祈福牌「平安」,紫,2000,带有挂绳的祈福牌，可以用于在福荫木下祈福，增加随机角色好感。,「根深蒂固，家宅平安。」,福荫集市,道具、可购买、其他,好感,,祈福牌「平安」
祈福牌「结缘」,紫,2000,带有挂绳的祈福牌，可以用于在福荫木下祈福，增加随机角色好感。,「枝繁叶茂，善缘广结。」,福荫集市,道具、可购买、其他,好感,,祈福牌「结缘」
祈福牌「有成」,紫,2000,带有挂绳的祈福牌，可以用于在福荫木下祈福，增加随机角色好感。,「硕果累累，所愿得偿。」,福荫集市,道具、可购买、其他,好感,,祈福牌「有成」
祈福牌「化厄」,紫,2000,带有挂绳的祈福牌，可以用于在福荫木下祈福，增加随机角色好感。,「叶落花开，否极泰来。」,福荫集市,道具、可购买、其他,好感,,祈福牌「化厄」
饕目,金,3000,可用于激活异象家具「玛门」。,祂目视，祂允诺，以金钱填满欲望的沟壑，放还吧，祂低语。,拍卖会购买，标价为起拍价,道具、可购买、特殊获取、异象家具材料,异象家具激活,,饕目
觊觎钱币,紫,150,可用于升级异象家具「玛门」。,赌徒紧握在手中的最后一枚方斯，对于玛门来说是不错的零食。,拍卖会购买，标价为起拍价,道具、可购买、特殊获取、异象家具材料,异象家具升级,,觊觎钱币
魔术丝线,金,0,可用于提升「银边管家」的职称。,听说管家的花边是它亲手绣上去，所以银边到金边是一个换线的过程。,消耗本性像素,道具、可刷取、异象家具材料,异象家具升级,,魔术丝线
异士的侧隐,金,0,可用于激活异象家具「无名刃」。,来自异国的流浪武士并不能给予它真正的解脱。,异象委托「何处是归乡」,道具、可刷取、异象家具材料,异象家具激活,,异士的侧隐
锻刀石,紫,0,可用于升级异象家具「无名刃」。,如春花花瓣一样柔然的石头，恰好能濯去尘埃。,异象「妖刀」掉落,道具、可刷取、异象家具材料,异象家具升级,,锻刀石
拳王的战意,金,0,可用于激活异象家具「休憩的拳王」。,鲜血，汗水，疼痛，旧伤……这些都是拳王的勋章。,"异象委托「后街拳王」
异象委托「天台拳王」",道具、可刷取、异象家具材料,异象家具激活,,拳王的战意
失落的甲胄,金,0,可用于激活异象家具「空铠甲」。,他的血，肉甚至于灵魂都献给了他曾效忠的主人。,异象委托「伤心的熊不流泪」,道具、可刷取、异象家具材料,异象家具激活,,失落的甲胄
未熄的鳞甲,紫,0,可用于升级异象家具「空铠甲」,每一片炽热过后又冷却的甲片上，都镌刻着王的名字。,异象「伤心英熊」掉落,道具、可刷取、异象家具材料,异象家具升级,,未熄的鳞甲
波普的滑板,金,0,可用于激活异象家具「旧滑板」。,悬赏奖金和战利品全都都要，这才是一个合格的异象猎人。,异象委托「超音速涂鸦」,道具、可刷取、异象家具材料,异象家具激活,,波普的滑板
明日涂料,紫,0,可用于升级异象家具「旧滑板」。,究竟是什么使今日家庭如此不同，如此有吸引力？,异象「波普」掉落,道具、可刷取、异象家具材料,异象家具升级,,明日涂料
一把钥匙,金,5000,可用于激活异象家具「破损的木箱」。,现在你掌握了打开木箱的方式。,猎人交易所,道具、可购买、异象家具材料,异象家具激活,,一把钥匙
蛛识木,紫,2000,可用于升级异象家具「破损的木箱」。,时尚特刊？天呐！蜘识藏家的藏书里怎么还有这个？,猎人交易所,道具、可购买、异象家具材料,异象家具升级,,蛛识木
片羽,紫,0,可用于升级异象家具「纸飞机」。,以碎纸片织就的羽翼，也能自由地飞翔吗？,异象「纸翼战队」掉落,道具、可刷取、异象家具材料,异象家具升级,,片羽
鳞纹,紫,0,可用于升级异象家具「双鱼旗」。,红鲤鱼蓝鲤鱼与绿鲤鱼。,异象「洄天鱼幡」掉落,道具、可刷取、异象家具材料,异象家具升级,,鳞纹
小瓜子,紫,0,可用于升级异象家具「仓鼠球」。,亲爱的，你掉的是这个金瓜子，还是这个银瓜子，还是这个普普通通的小瓜子呢？,异象「贩售机附电灵」掉落,道具、可刷取、异象家具材料,异象家具升级,,小瓜子
异构单元,紫,0,敌人掉落素材不足时使用的不稳定异构体。可根据材料的稀有度调整异构单元的用量。,一种具有特殊的高度不稳定性物质，你永远不知道下一次查看它时它会变成什么。,"异象掉落
活动获得",道具、可刷取、养成材料、其他,自选箱、弧盘突破,,异构单元
扭曲数符,紫,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的相互纠缠的数符。

「7」「0」「3」「5」「X」「1」","合成
猎人交易所
异象「瓦楞城堡、ReroRero电话亭、洄天鱼幡、雨人、贩售机附电灵、分解者、妖刀」掉落",道具、可刷取、养成材料,弧盘突破,,扭曲数符
未解数符,蓝,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的勘测理性信号数符。

「α≈1/137，
答题者未曾于宇宙降落。」","合成
猎人交易所
迷迭兑换
异象「瓦楞城堡、ReroRero电话亭、洄天鱼幡、雨人、贩售机附电灵、分解者、妖刀」掉落",道具、可刷取、养成材料,弧盘突破,,未解数符
模糊数符,绿,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的与清晰博弈的数符。

「KØAV&*O」","开启材料自选箱
猎人交易所
迷迭兑换
异象「瓦楞城堡、ReroRero电话亭、洄天鱼幡、雨人、贩售机附电灵、分解者、妖刀」掉落",道具、可刷取、养成材料,弧盘突破,,模糊数符
悖谬絮语,紫,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的自见分晓的絮语。

「我的话语将以如下方式进行——一切语言都是被维系在它与其他语言的拓扑关系之中。」","合成
猎人交易所
异象「羽偶、流梦种、扫晴娘、空铠甲、伤心英熊、拖车艄、凭依种、迷失种、风洞种、低语种」掉落",道具、可刷取、养成材料,弧盘突破,,悖谬絮语
茫昧絮语,蓝,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的破碎絮语。

「▇‌▇‌▇‌▇‌▇‌▇‌▇‌▇‌▇‌▇‌秩序▇‌▇‌▇‌▇‌▇‌解▇‌▇‌▇‌
    ▇‌▇‌▇‌▇‌恐▇‌▇‌▇‌▇‌恐惧▇‌▇‌▇‌▇‌」","合成
猎人交易所
迷迭兑换
异象「羽偶、流梦种、扫晴娘、空铠甲、伤心英熊、拖车艄、凭依种、迷失种、风洞种、低语种」掉落",道具、可刷取、养成材料,弧盘突破,,茫昧絮语
失落絮语,绿,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的微弱絮语。

「……克服失群者@#%怪谲……
……摧毁*^$异禀?#@!!$ ……」","开启材料自选箱
猎人交易所
迷迭兑换
异象「羽偶、流梦种、扫晴娘、空铠甲、伤心英熊、拖车艄、凭依种、迷失种、风洞种、低语种」掉落",道具、可刷取、养成材料,弧盘突破,,失落絮语
晦暗掠影,紫,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的自暗处试图徘徊再现的掠影。

「TexTum6789▲▲5434▼▼▼89TexTum▲▲▼","合成
猎人交易所
异象「波普、棉绒绒、波普」掉落
小混混团体「无明众」掉落",道具、可刷取、养成材料,弧盘突破,,晦暗掠影
失焦掠影,蓝,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的迷蒙掠影。

「CoC>0.1▇‌▇‌▇▇‌D▇‌▇‌▇‌▇0
聚焦▇‌▇‌▇‌5▇‌▇‌▇
MTF<▇‌▇‌▇‌
▇‌▇‌▇‌>▇‌▇‌▇‌像素宽
▇‌▇‌▇‌▇‌▇‌▇‌」","合成
猎人交易所
迷迭兑换
异象「波普、棉绒绒、波普」掉落
小混混团体「无明众」掉落",道具、可刷取、养成材料,弧盘突破,,失焦掠影
褪色掠影,绿,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的自边缘处逐渐消退的掠影。

「Tthhe qquuickk brrownn ffoxx jumpps
oveer thhe lazzy dogg.」","开启材料自选箱
猎人交易所
迷迭兑换
异象「波普、棉绒绒、波普」掉落
小混混团体「无明众」掉落",道具、可刷取、养成材料,弧盘突破,,褪色掠影
超验幻妄,紫,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的宇宙缩影中的幻妄。

「喂——喂——
喂——喂——
来——来——
喂——！」","合成
猎人交易所
异象「唱片机附电灵、诺诺斯、纸翼战队、诡面筝、长明灯、抱抱藤」掉落",道具、可刷取、养成材料,弧盘突破,,超验幻妄
渴念幻妄,蓝,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的横冲直撞的幻妄。

「它说道：永不再来。」","合成
猎人交易所
迷迭兑换
异象「唱片机附电灵、诺诺斯、纸翼战队、诡面筝、长明灯、抱抱藤」掉落",道具、可刷取、养成材料,弧盘突破,,渴念幻妄
悬想幻妄,绿,0,异象被泯除或收容时所留下的物质；可以用来提高角色的突破等级。,"被捕捉到的盲眼幻妄。

「淡蓝色塑料壳里有好多声音。
你听。怨灵纠缠，咬牙切齿，喧哗骚动，氤氲起的灯雾又退散开来。
我们披着冷冽，遗世孤立却又为世界撕开不信任的外壳。」","开启材料自选箱
猎人交易所
迷迭兑换
异象「唱片机附电灵、诺诺斯、纸翼战队、诡面筝、长明灯、抱抱藤」掉落",道具、可刷取、养成材料,弧盘突破,,悬想幻妄
扩容核心,紫,1500,角色异能或弧盘材料不足时使用的袖珍的元件。可根据材料的稀有度调整扩容核心的用量。,小巧便携的随身材料补充装，适用于多种情况，为各位异象猎人量身打造。,"猎人交易所
环期赏令",道具、养成材料、其他,自选箱、异能升级、弧盘突破,,扩容核心
特级猎人攻略,紫,3000,可以提供20000点的角色经验，用于角色提高等级。,"《从I到VIII，特级猎人的异象目录，也要一网打尽！》
—— 这是一份「呗果」上「开心果」投喂999999+的猎人攻略，但记录的特殊异象从来没有人见过，直到某天某个匿名用户上传了一张表意不明的画作图片，画内模糊的身影、令人费解的场景好像在极力从侧面印证着什么……","开启材料自选箱
胡迪尼的魔术舞台-合订本
猎人交易所
世界探索",道具、可刷取、养成材料,经验、角色突破,,特级猎人攻略
资深猎人攻略,蓝,750,可以提供5000点的角色经验，用于角色提高等级。,"「天选猎人才知道的行业秘则！异象、测验与记事本。」
—— 这是一份「呗果」上收藏10000+的猎人攻略，没有认真的猎人，没有准备好的弧盘，没有帅气的异能，只剩下「在都市接连收服高级异象小弟」的轻小说日常，收藏量很高大概是因为猎人们都想要被幸运眷顾吧。","开启材料自选箱
胡迪尼的魔术舞台-合订本
猎人交易所
世界探索",道具、可刷取、养成材料,经验、角色突破,,资深猎人攻略
新锐猎人攻略,绿,150,可以提供1000点的角色经验，用于角色提高等级。,"「新生代猎人的个人见解，晋升攻略先行放送！」
—— 这是一份「呗果」上获得999+「芝麻」的猎人攻略，曾有刚领到猎人证的新手尝试验证其成效，最后只留下了一句评论：小……心……异……象！","胡迪尼的魔术舞台-合订本
猎人交易所
世界探索",道具、可刷取、养成材料,经验、角色突破,,新锐猎人攻略
哔哔小喇叭,金,0,塔吉多的音波强化喇叭，在战斗中使用，向目标位置发射音波协助战斗。,咳咳，都要，听我说话！,伊波恩后院仓库,道具、可拾取、其他,战斗,,哔哔小喇叭
呲呲杀虫剂,金,0,塔吉多的强化杀虫剂，在战斗中使用，于目标位置生成喷雾协助战斗。,一级警报！一级警报！开始清除害虫！,伊波恩后院仓库,道具、可拾取、其他,战斗,,呲呲杀虫剂
嘟嘟小卡车,金,0,塔吉多的试作型玩具车，在战斗中使用，向前方冲刺协助战斗。,来「碰碰」运气！,伊波恩后院仓库,道具、可拾取、其他,战斗,,嘟嘟小卡车
吨吨锤,金,0,塔吉多的特制充气锤，在战斗中使用，协助攻击目标。,一下，全部，砸扁！,伊波恩后院仓库,道具、可拾取、其他,战斗,,吨吨锤
万能鱼饵,金,100/5鱼鳞币,最基础的鱼饵，虽然不具备任何特殊效果，但具有最高的性价比。,使用复合材料制作的鱼饵，由于添加了对海水鱼和淡水鱼都具有一定吸引力的饵料，因此可以在任何水域使用。低廉的成本和极高的性价比让其在新手和老手中都深受喜爱。,"月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,万能鱼饵
杂谷饵,绿,6鱼鳞币,制作简易的鱼饵，可以提升钓到以下淡水鱼的概率：黑纹水虎、活翡翠、水下彩、巴巴拉、鹤顶红。,"每位钓者在入门时期都会学习制作的鱼饵，主要由稻谷和蚯蚓搓造而成，对于一般的鱼类而言有难以拒绝的吸引力。
「如果我钓上了这一条，再有两条就三条了。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,杂谷饵
果渍饵,绿,6鱼鳞币,制作简易的鱼饵，可以提升钓到以下淡水鱼的概率：绿斑水虎、红腹水虎、三秋桂、鹤顶红、黑魔鬼,"一些细心的钓者在杂谷饵原料的基础上添加加泥而制成的饵料，他们相信这种更加香甜的鱼饵会吸引更多游鳞的光顾。
「看来同时也吸引了嗜甜的飞虫呢……」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,果渍饵
虾籽饵,绿,6鱼鳞币,制作简易的鱼饵，可以提升钓到以下海水鱼的概率：球球鱼、生气球球鱼、三文鱼、蓝纹石斑鱼、蓝鳍金枪,"以鲜嫩的虾米为主要原料制作的鱼饵，在手工鱼饵中算得上是相当上乘的饵料，总有一些钓鱼爱好者声称用这种鱼饵可以钓上比往常多一倍的鱼。
「不管是素饵还是荤饵，能钓上鱼就是好饵。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,虾籽饵
鲜腴饵,绿,6鱼鳞币,制作简易的鱼饵，可以提升钓到以下海水鱼的概率：斑纹狮子鱼、火焰狮子鱼、黄鳍金枪、紫纹石斑鱼、鬼头刀,"以虾肉为底料的鱼饵，混入了香嫩的鱼肉粉，气味浓郁，在原有的鲜味上更添一层鲜美。
「对鱼来说就是能把鱼鳞都鲜掉。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,鲜腴饵
蠕须饵,绿,6鱼鳞币,制作简易的鱼饵，可以提升钓到以下海水鱼的概率：翻车鱼、红翻车鱼、比目鱼、赤铜、骄阳鬼头刀,"在原有底料的基础上又额外添加蠕虫的饵料，总有一些不嫌麻烦的钓者将蠕虫剁成肉糜再进行混合，他们认为这是一位合格的钓者应该具备的耐心。
「有这样的精神干什么都会成功的。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,蠕须饵
酒糟饵,蓝,16鱼鳞币,经过加工的鱼饵，可以提升钓到以下淡水鱼的概率：红绿灯鱼、胭脂红、三色金鱼、紫花条、三瓣花,"精心加工后的鱼饵，添加了诸如酒糟、麸皮等对鱼类颇具吸引力的原料，综合效果自然比自制的饵料要更上一层楼，但总有不信邪的人坚持使用自己手搓的鱼饵。
「钓鱼没有捷径可走。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,酒糟饵
甜麦饵,蓝,16鱼鳞币,经过加工的鱼饵，可以提升钓到以下淡水鱼的概率：金鱼、银龙鱼、波拿拿、三瓣花、五彩扇,"含有小麦粉的精制鱼饵，投入水中会散发出持久的谷香和肉香，且溶解速度慢，非常适合揉碎了用来打窝，吸引鱼儿来觅食。
「钓鱼不打窝，鱼儿不会多。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,甜麦饵
螺腥饵,蓝,16鱼鳞币,经过加工的鱼饵，可以提升钓到以下海水鱼的概率：蓝纹神仙鱼、绿纹神仙鱼、蓝面神仙鱼、破晓流光、红斑鱼,"原料中添加了螺肉和贝肉的鱼饵，营养丰富，腥香异常，对一些海水鱼有致命的诱惑力。
「你怎么知道我上个月钓上了一条四十五斤的鱼？」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,螺腥饵
连竿饵,蓝,16鱼鳞币,经过加工的鱼饵，可以提升钓到以下海水鱼的概率：火箭鱼、蓝火箭鱼、绿面神仙鱼、魔鬼炮弹、青占鱼,"据说是可以做到十次提竿九次有鱼的神奇鱼饵，或许不乞大其词的嫌疑，但它对钓者的吸引力并不比对鱼儿们的少。
「我要向所有人证明我什么都钓得到，包括鱼。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,连竿饵
诱食饵,蓝,16鱼鳞币,经过加工的鱼饵，可以提升钓到以下海水鱼的概率：皇后神仙鱼、骑士神仙鱼、蔚蓝流光、幽灵炮弹、金青占鱼,"进一步添加了晒干香料的鱼饵，所散发出的香味有时甚至让人食指大动，但实际的味道似乎并没有想象中的那么好。
「敢吃鱼饵的人是很值得佩服的……各种意义上来说。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,诱食饵
蜜炼饵,蓝,16鱼鳞币,经过加工的鱼饵，可以提升钓到以下海水鱼的概率：蓝鳍旗、红鳍旗、绿鳍旗,"散发着甜腻香气的饵料，很怀疑里面是不是加入了致死量的糖。
「甜食令人心情愉悦，钓鱼也是。」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,蜜炼饵
八珍饵,紫,72鱼鳞币,配比精良的鱼饵，可以提升钓到以下淡水鱼的概率：电光雷龙、锦鲤,"原料丰富并经过精心配比的饵料，价格自然也较一般的鱼饵高上一些，但热衷钓鱼的人从不吝啬。毕竟只有放对鱼饵，鱼儿才会上钩，这是连小孩子都知道的道理。
「不能省！坚决不能省！」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,八珍饵
秘酿饵,紫,72鱼鳞币,配比精良的鱼饵，可以提升钓到以下淡水鱼的概率：金光雷龙、蓝玉鳞,"曾是某个捕鱼世家代代相传的鱼饵配方，后来被一位商人花大价钱买下并用现代工艺进行了改良，推出后一度成为鱼饵市场上炙手可热的“断货王”。
「真正的钓者就算不用饵也能让鱼儿咬钩！」","月亮湾渔具商店
钓鱼点选渔具商店快捷购买",道具、可购买、鱼类道具,鱼饵,,秘酿饵
